,21C2,221E,2240,225D,2266,2289,2329,2396
2023-05-01 01:45:00,60.0,52.0,50.0,57.0,49.0,52.0,46.0,49.0
2023-05-01 01:46:00,59.0,52.0,48.0,52.5,49.0,48.5,44.0,48.0
2023-05-01 01:47:00,59.0,52.0,51.0,57.5,49.0,50.0,45.0,52.5
2023-05-01 01:48:00,60.0,51.0,55.0,52.5,49.0,49.0,44.0,53.5
2023-05-01 01:49:00,59.0,53.0,53.5,56.0,49.0,46.0,45.0,53.5
2023-05-01 01:50:00,59.0,52.0,52.0,54.7,49.0,45.0,45.5,53.0
2023-05-01 01:51:00,59.0,55.0,51.0,54.3,49.0,46.0,45.0,51.5
2023-05-01 01:52:00,58.5,56.0,52.0,54.7,49.0,46.0,45.0,50.0
2023-05-01 01:53:00,59.0,57.0,54.0,55.0,49.0,46.0,46.5,50.5
2023-05-01 01:54:00,58.5,55.0,56.0,55.3,49.0,46.0,44.5,52.0
2023-05-01 01:55:00,59.5,50.0,53.0,53.7,49.0,46.0,45.5,49.5
2023-05-01 01:56:00,59.0,50.0,54.0,57.0,49.0,52.0,44.5,53.5
2023-05-01 01:57:00,59.0,52.0,56.0,54.5,49.0,52.0,45.0,51.5
2023-05-01 01:58:00,58.5,52.0,55.5,51.0,49.0,52.0,45.0,49.0
2023-05-01 01:59:00,59.0,51.0,55.0,52.0,49.0,52.0,45.0,51.0
2023-05-01 02:00:00,59.0,53.0,54.0,51.0,49.0,55.0,45.0,54.0
2023-05-01 02:01:00,58.0,52.5,56.0,54.0,49.0,53.0,45.0,53.5
2023-05-01 02:02:00,59.0,52.5,56.0,53.0,49.0,50.0,45.0,54.0
2023-05-01 02:03:00,58.0,51.0,52.0,52.0,49.0,48.0,45.0,52.5
2023-05-01 02:04:00,58.0,52.0,53.0,51.0,49.0,48.0,45.0,51.0
2023-05-01 02:05:00,58.0,53.0,55.0,51.0,49.0,48.5,45.0,53.0
2023-05-01 02:06:00,58.0,52.5,56.5,51.0,49.0,48.0,45.0,53.0
2023-05-01 02:07:00,58.0,52.0,53.0,55.0,49.0,50.0,45.0,50.5
2023-05-01 02:08:00,58.0,51.0,49.0,53.0,49.0,47.5,45.0,54.5
2023-05-01 02:09:00,58.0,53.0,52.0,58.0,48.0,49.5,44.0,52.0
2023-05-01 02:10:00,58.0,51.0,57.0,54.0,52.0,48.5,44.0,51.5
2023-05-01 02:11:00,58.0,53.0,59.0,54.0,54.0,54.0,44.0,54.3
2023-05-01 02:12:00,58.0,54.0,53.0,54.0,52.0,52.0,44.0,52.5
2023-05-01 02:13:00,58.0,55.0,57.0,54.0,52.0,52.0,44.0,56.0
2023-05-01 02:14:00,58.0,52.5,53.0,54.0,53.0,57.0,44.0,55.0
2023-05-01 02:15:00,58.0,52.0,55.0,58.0,50.0,49.0,44.0,53.0
2023-05-01 02:16:00,58.0,51.0,53.0,58.0,48.0,51.0,44.0,51.0
2023-05-01 02:17:00,58.0,50.5,57.0,58.0,51.0,49.0,44.0,53.0
2023-05-01 02:18:00,58.0,55.5,56.0,58.0,47.0,49.0,44.0,51.0
2023-05-01 02:19:00,58.0,52.0,58.0,56.0,48.0,49.0,44.0,50.0
2023-05-01 02:20:00,58.0,53.0,58.0,56.0,51.0,45.0,44.0,50.0
2023-05-01 02:21:00,58.0,53.0,57.0,54.0,52.0,45.0,44.0,50.0
2023-05-01 02:22:00,57.0,53.0,56.0,57.0,49.0,46.0,44.0,55.0
2023-05-01 02:23:00,56.0,50.0,54.0,54.0,48.0,46.0,44.0,55.0
2023-05-01 02:24:00,56.0,52.0,53.0,58.0,50.0,46.0,44.0,52.0
2023-05-01 02:25:00,56.0,51.0,53.0,53.0,48.0,46.0,45.0,48.0
2023-05-01 02:26:00,56.0,50.0,53.0,52.0,50.0,46.0,44.0,54.0
2023-05-01 02:27:00,56.0,52.0,53.0,59.0,51.0,47.0,44.0,54.0
2023-05-01 02:28:00,56.0,52.0,53.0,59.0,48.0,45.0,44.0,54.0
2023-05-01 02:29:00,56.0,52.0,53.0,59.0,48.0,46.0,44.0,54.0
2023-05-01 02:30:00,56.0,52.5,53.0,59.0,47.0,46.0,44.0,49.0
