,21C2,221E,2240,225D,2266,2289,2329,2396
2023-05-01 02:02:00,59.5,48.5,55.7,54.0,49.0,46.0,44.7,51.2
2023-05-01 02:03:00,59.5,52.5,54.8,55.1,49.8,46.0,45.3,52.5
2023-05-01 02:04:00,59.8,52.0,55.5,52.8,50.0,46.0,44.3,49.7
2023-05-01 02:05:00,59.0,51.5,57.0,51.3,49.5,46.0,44.7,51.3
2023-05-01 02:06:00,57.2,51.3,54.2,53.3,50.0,46.0,44.3,55.3
2023-05-01 02:07:00,57.0,50.0,52.8,52.9,48.0,46.0,44.5,50.0
2023-05-01 02:08:00,57.0,48.7,55.0,52.0,50.0,47.0,44.5,47.3
2023-05-01 02:09:00,56.8,49.3,53.8,53.3,49.5,48.0,46.0,50.7
2023-05-01 02:10:00,56.8,50.3,55.0,55.2,48.8,45.5,44.5,50.2
2023-05-01 02:11:00,56.5,52.3,53.8,51.8,49.0,46.0,46.0,49.5
2023-05-01 02:12:00,56.5,52.3,52.5,53.2,49.7,47.0,45.0,50.5
2023-05-01 02:13:00,56.5,51.8,52.6,52.4,49.3,46.5,45.0,49.5
2023-05-01 02:14:00,56.8,51.5,51.0,52.4,52.0,46.5,45.0,48.5
2023-05-01 02:15:00,59.0,50.3,50.4,53.0,52.3,46.0,45.0,50.0
2023-05-01 02:16:00,58.7,51.0,50.0,51.0,52.0,46.0,44.0,49.2
2023-05-01 02:17:00,58.7,49.2,50.5,50.8,49.8,46.0,45.5,53.0
2023-05-01 02:18:00,58.7,50.8,48.8,51.8,51.8,46.0,44.0,52.0
2023-05-01 02:19:00,58.0,50.8,53.5,52.8,50.2,46.0,45.0,52.0
2023-05-01 02:20:00,58.0,52.2,51.0,55.8,50.8,46.0,44.0,48.8
2023-05-01 02:21:00,64.0,49.8,52.7,50.0,49.8,46.0,45.0,52.3
2023-05-01 02:22:00,61.0,50.2,53.8,50.0,49.7,46.0,44.0,51.7
2023-05-01 02:23:00,61.0,51.2,54.5,52.6,50.2,46.0,44.0,52.7
2023-05-01 02:24:00,61.0,50.5,54.5,53.2,50.2,46.0,45.0,50.3
2023-05-01 02:25:00,61.5,52.3,55.5,53.6,52.4,46.0,44.3,51.7
2023-05-01 02:26:00,57.7,50.8,54.2,53.2,50.8,46.0,44.7,47.3
