edges,edges,name,ddB,edB,ndB
"(256578891, 73755481, 0)","(256578891, 73755481, 0)",Mäealuse,57.26030982905983,53.444747596153846,49.86749799679487
"(325632569, 12484661, 0)","(325632569, 12484661, 0)",Mäepealse,55.69220085470086,52.39578525641026,48.2279967948718
"(324308008, 73763147, 0)","(324308008, 73763147, 0)",Raja,56.074700854700865,53.26217948717949,50.3213141025641
"(279538142, 361108640, 0)","(279538142, 361108640, 0)",Narva mnt,62.15472222222222,59.94585737179487,52.12669471153846
"(5091315876, 4480845850, 0)","(5091315876, 4480845850, 0)",,54.16444444444444,50.6673717948718,47.78041666666667
"(5911959014, 928292316, 0)","(5911959014, 928292316, 0)",Peeter Süda,57.85736111111111,54.64841346153847,51.07884214743589
"(1461335903, 10836749761, 0)","(1461335903, 10836749761, 0)",,61.20766025641025,58.55887820512821,53.99578525641026
"(919096989, 57656419, 0)","(919096989, 57656419, 0)",Endla,54.589209401709404,52.322628205128204,48.8607532051282
"(73755481, 256578891, 0)","(73755481, 256578891, 0)",,57.26030982905983,53.444747596153846,49.86749799679487
"(61908706, 59871425, 0)","(61908706, 59871425, 0)",Luise,56.85224358974359,56.28865384615384,50.267836538461545
"(621327067, 906832727, 0)","(621327067, 906832727, 0)",Mere pst,57.41537037037037,55.13561965811965,51.81886217948718
"(28784766, 421684883, 0)","(28784766, 421684883, 0)",,60.25448717948718,57.06983974358974,53.20913461538461
"(401316645, 618421673, 0)","(401316645, 618421673, 0)",Lennuki,59.00008012820513,55.92052083333333,51.80463541666667
"(1462114052, 2126605508, 0)","(1462114052, 2126605508, 0)",,59.39678418803419,57.043557692307694,52.89692307692309
"(10836749760, 8003172865, 0)","(10836749760, 8003172865, 0)",,64.19231837606839,60.45301282051282,55.68378205128205
"(325632548, 12484724, 0)","(325632548, 12484724, 0)",,56.74673076923076,53.43192307692308,49.11040064102564
"(602782081, 11784244, 0)","(602782081, 11784244, 0)",,60.00102564102565,57.30375000000001,50.71148237179487
"(618421782, 343252296, 0)","(618421782, 343252296, 0)",,60.557163461538465,58.06221153846154,52.72331730769231
"(27503573, 27503570, 0)","(27503573, 27503570, 0)",,63.6714423076923,59.724294871794875,54.68290064102564
"(5091315876, 618421658, 0)","(5091315876, 618421658, 0)",,55.412804487179486,52.29375,48.415512820512824
"(11793498, 1462114050, 0)","(11793498, 1462114050, 0)",,60.30207264957264,57.646217948717954,54.92102564102564
"(325632617, 73763147, 0)","(325632617, 73763147, 0)",Alliksoo,59.934561965811966,57.26881410256411,53.47030448717949
"(61931336, 3901219849, 0)","(61931336, 3901219849, 0)",Petrooleumi,60.06810897435897,55.125801282051285,50.84666666666666
"(281656995, 10581122, 0)","(281656995, 10581122, 0)",Konstantin Türnpu,58.59458333333334,55.787147435897445,50.31767628205128
"(11784764, 645325471, 0)","(11784764, 645325471, 0)",Laagna tee,60.62856080840456,57.57424946581197,52.632542067307696
"(256578891, 325632569, 0)","(256578891, 325632569, 0)",,57.14491452991453,53.16060897435898,49.727419871794865
"(2240521907, 11784751, 0)","(2240521907, 11784751, 0)",,60.65622201872202,57.44000076312576,52.48308722527473
"(27503569, 991359900, 0)","(27503569, 991359900, 0)",Järvevana tee,55.91380341880341,53.712660256410246,50.13722756410256
"(11790524, 11790732, 0)","(11790524, 11790732, 0)",Ehitajate tee,57.58060363247863,54.61717948717949,50.464851762820516
"(11782402, 61913212, 0)","(11782402, 61913212, 0)",,57.358931623931625,54.08596153846154,49.9399358974359
"(614470083, 11794812, 0)","(614470083, 11794812, 0)",Juhan Smuuli tee,58.127574786324786,54.784551282051275,50.30907051282051
"(616479608, 11795365, 0)","(616479608, 11795365, 0)",,58.88122329059829,53.555801282051284,50.33947115384616
"(11794745, 11794915, 0)","(11794745, 11794915, 0)",,60.97573717948717,57.7238141025641,52.681041666666665
"(6900143901, 4374425699, 0)","(6900143901, 4374425699, 0)",,52.608237179487176,49.691923076923075,48.033076923076926
"(11790732, 11790524, 0)","(11790732, 11790524, 0)",,57.58060363247863,54.61717948717949,50.464851762820516
"(618946583, 616479608, 0)","(618946583, 616479608, 0)",,59.99945512820513,60.062051282051286,54.24277243589744
"(73763147, 11790732, 0)","(73763147, 11790732, 0)",Üliõpilaste tee,54.07978098290598,50.8877483974359,48.02455528846154
"(645325471, 2242893960, 0)","(645325471, 2242893960, 0)",,63.47497863247864,60.19442307692308,52.88729166666667
"(281657392, 919685924, 0)","(281657392, 919685924, 0)",,62.17047008547009,56.67810897435898,53.3758173076923
"(12294692, 12294409, 0)","(12294692, 12294409, 0)",,62.70261752136752,59.55673076923077,53.047035256410254
"(906669254, 906669595, 0)","(906669254, 906669595, 0)",,60.16849358974359,57.385192307692314,50.356057692307694
"(11790732, 73763147, 0)","(11790732, 73763147, 0)",,54.07978098290598,50.8877483974359,48.02455528846154
"(325632532, 325632548, 0)","(325632532, 325632548, 0)",Soone,58.22095085470085,53.76317307692307,51.44211538461539
"(1129467483, 1462085789, 0)","(1129467483, 1462085789, 0)",,64.18461538461538,60.678333333333335,55.833477564102566
"(614488565, 281656995, 0)","(614488565, 281656995, 0)",,59.87456196581197,55.25580128205127,50.86577457264957
"(8463821016, 8003172855, 0)","(8463821016, 8003172855, 0)",,61.9359188034188,58.87278846153846,55.00338141025641
"(343252296, 421684884, 0)","(343252296, 421684884, 0)",,59.0547329059829,55.62107371794872,51.84
"(11794749, 11794772, 0)","(11794749, 11794772, 0)",,61.22981837606837,58.16435897435897,51.7225
"(919685958, 919685959, 0)","(919685958, 919685959, 0)",,55.53817307692308,52.51198717948718,50.07620192307692
"(75704748, 57659504, 0)","(75704748, 57659504, 0)",,58.45237179487179,56.69589743589744,51.40221153846154
"(767464080, 10580293, 0)","(767464080, 10580293, 0)",,59.68672008547008,56.5651282051282,50.70084935897436
"(312969618, 31225243, 0)","(312969618, 31225243, 0)",,62.91549145299145,59.24038461538461,53.3195673076923
"(12484661, 325632569, 0)","(12484661, 325632569, 0)",,55.69220085470086,52.39578525641026,48.2279967948718
"(11784238, 612602628, 0)","(11784238, 612602628, 0)",,61.9411217948718,59.0241826923077,52.57161057692308
"(11794443, 11794416, 0)","(11794443, 11794416, 0)",,65.40766559829059,61.21698717948718,55.51370993589744
"(11794796, 12294433, 0)","(11794796, 12294433, 0)",,63.96473646723647,60.56600427350427,52.88778311965812
"(60294553, 632445107, 0)","(60294553, 632445107, 0)",,54.92686965811966,53.61330128205128,49.56814102564102
"(10580998, 905992417, 0)","(10580998, 905992417, 0)",,58.458600427350426,55.94814102564103,51.31027243589744
"(311933494, 2359050317, 0)","(311933494, 2359050317, 0)",,62.78954059829059,59.31830128205129,54.418814102564106
"(10819551589, 1194191439, 0)","(10819551589, 1194191439, 0)",,54.3994391025641,51.6993108974359,48.4450641025641
"(311937555, 31288169, 0)","(311937555, 31288169, 0)",,60.2346047008547,57.788301282051286,53.715264423076924
"(1253152168, 10819551588, 0)","(1253152168, 10819551588, 0)",,56.15395299145299,54.079551282051284,50.68958333333333
"(1054298137, 5928600744, 0)","(1054298137, 5928600744, 0)",Ants Laikmaa,60.58828525641026,57.11557692307692,53.823878205128196
"(57656422, 312958763, 0)","(57656422, 312958763, 0)",,60.308514957264954,58.01759615384616,53.65767628205128
"(5933312949, 5933312951, 0)","(5933312949, 5933312951, 0)",Pronksi,55.52560897435897,54.2576282051282,50.2961217948718
"(12484724, 325632569, 0)","(12484724, 325632569, 0)",,56.42560897435898,53.46129807692307,48.81288461538462
"(73755481, 3828386179, 0)","(73755481, 3828386179, 0)",Kadaka pst,57.92362179487179,54.72208333333334,50.91294871794872
"(385948674, 82477399, 0)","(385948674, 82477399, 0)",,58.21970085470085,55.90724358974358,51.483910256410255
"(991175021, 82509702, 0)","(991175021, 82509702, 0)",,58.969337606837605,54.87769230769231,51.05910256410256
"(12294459, 30848399, 0)","(12294459, 30848399, 0)",,64.60074786324786,60.984358974358976,53.902259615384615
"(632445107, 311937553, 0)","(632445107, 311937553, 0)",,60.423344017094024,57.84572916666667,53.71645432692308
"(31288170, 3496992751, 0)","(31288170, 3496992751, 0)",,58.514540598290594,57.00570512820512,51.94163461538462
"(319171797, 293897381, 0)","(319171797, 293897381, 0)",,56.81521367521368,53.48291666666667,48.04953525641025
"(5928195561, 31288169, 0)","(5928195561, 31288169, 0)",Maneeži,53.179070512820516,51.16642628205129,47.66671474358974
"(919096965, 11793519, 0)","(919096965, 11793519, 0)",Suur-Sõjamäe,57.655448717948715,53.760000000000005,49.67666666666667
"(11782289, 767464076, 0)","(11782289, 767464076, 0)",,59.367008547008545,57.39448717948718,52.18431089743589
"(9892318681, 1054298481, 0)","(9892318681, 1054298481, 0)",,62.96509615384616,59.17608974358974,54.45815705128206
"(5928195560, 31225231, 0)","(5928195560, 31225231, 0)",,54.30997863247863,51.91865384615385,48.20857371794872
"(31288169, 5928195561, 0)","(31288169, 5928195561, 0)",,53.179070512820516,51.16642628205129,47.66671474358974
"(2359050317, 311937554, 0)","(2359050317, 311937554, 0)",,58.30039529914529,54.293125,51.22850961538461
"(12294409, 11794793, 0)","(12294409, 11794793, 0)",,64.61146901709402,61.43419871794872,53.88952724358974
"(11794397, 11794380, 0)","(11794397, 11794380, 0)",,64.54477831196581,60.66447115384615,55.01535657051282
"(10819551588, 7216592118, 0)","(10819551588, 7216592118, 0)",,55.86099358974359,52.82522435897436,48.39697115384615
"(10580639, 10580645, 0)","(10580639, 10580645, 0)",,63.661677350427354,60.789006410256405,53.815320512820506
"(958178888, 10580639, 0)","(958178888, 10580639, 0)",,58.54541666666666,54.70249999999999,50.850352564102565
"(905992417, 10580837, 0)","(905992417, 10580837, 0)",Ants Lauteri,60.82377136752137,55.85618589743589,51.5650641025641
"(81338519, 1251307376, 0)","(81338519, 1251307376, 0)",,58.26027777777777,55.44259615384616,50.40748397435897
"(928292316, 905992458, 0)","(928292316, 905992458, 0)",,59.543440170940166,56.716378205128194,51.5524358974359
"(618887352, 624247116, 0)","(618887352, 624247116, 0)",,59.0509829059829,56.399294871794865,51.21483974358974
"(6873490571, 621283009, 0)","(6873490571, 621283009, 0)",Hobujaama,59.63547008547008,56.15897435897436,51.93982371794872
"(1409419693, 6622573350, 0)","(1409419693, 6622573350, 0)",,56.63556623931624,53.80842948717948,49.048605769230775
"(1251307376, 1253152168, 0)","(1251307376, 1253152168, 0)",,53.013002136752135,50.25745192307693,47.467564102564104
"(905936561, 403331613, 0)","(905936561, 403331613, 0)",,59.0547329059829,55.62107371794872,51.84
"(361108640, 11784199, 0)","(361108640, 11784199, 0)",Jüri Vilmsi,58.86757478632479,55.63054487179487,50.83277243589744
"(320247118, 11791483, 0)","(320247118, 11791483, 0)",,56.53352564102565,53.77673076923077,49.86532051282052
"(421684881, 361092097, 0)","(421684881, 361092097, 0)",,62.29220085470085,59.811282051282056,52.94014423076923
"(57658062, 323930011, 0)","(57658062, 323930011, 0)",,58.634145299145295,55.756987179487176,51.10690705128205
"(5933049338, 312969622, 0)","(5933049338, 312969622, 0)",,59.768509615384616,57.14209935897436,52.123149038461534
"(30973304, 30973319, 0)","(30973304, 30973319, 0)",,64.85642094017095,60.47368589743591,55.52349358974359
"(60444581, 906669379, 0)","(60444581, 906669379, 0)",,61.9411217948718,59.0241826923077,52.57161057692308
"(319171784, 319171787, 0)","(319171784, 319171787, 0)",,57.5522329059829,54.80782051282051,49.90360576923077
"(608620792, 11782289, 0)","(608620792, 11782289, 0)",,60.960085470085474,57.967532051282056,52.733926282051286
"(11784751, 614488572, 0)","(11784751, 614488572, 0)",,57.958344017094014,55.55375,51.81427884615384
"(11794784, 11794771, 0)","(11794784, 11794771, 0)",,67.19694444444444,63.59403846153846,55.308557692307694
"(604126795, 11790506, 0)","(604126795, 11790506, 0)",Akadeemia tee,55.111976495726495,52.56458333333333,49.2330608974359
"(11790046, 320142132, 0)","(11790046, 320142132, 0)",,53.453130341880346,49.792019230769235,47.42796474358974
"(11794416, 2240521907, 0)","(11794416, 2240521907, 0)",,63.63859508547009,59.30714743589744,53.860753205128205
"(21094400, 21094402, 0)","(21094400, 21094402, 0)",,56.11100427350427,53.637564102564106,50.35371794871794
"(10873858654, 12484724, 0)","(10873858654, 12484724, 0)",,58.4869017094017,55.0413141025641,51.00301282051282
"(11794788, 11794796, 0)","(11794788, 11794796, 0)",,64.79094017094016,61.838653846153846,55.00363782051282
"(311937602, 634445961, 0)","(311937602, 634445961, 0)",,54.093888888888884,49.92996794871795,49.17895833333333
"(10581177, 11784048, 0)","(10581177, 11784048, 0)",,61.3580876068376,59.48089743589745,54.25003205128204
"(1842830423, 612602570, 0)","(1842830423, 612602570, 0)",,62.15472222222222,59.94585737179487,52.12669471153846
"(403331613, 1462114052, 0)","(403331613, 1462114052, 0)",,60.557163461538465,58.06221153846154,52.72331730769231
"(311937549, 31288161, 0)","(311937549, 31288161, 0)",,61.6252670940171,59.53733974358974,55.41875
"(1045305804, 385811068, 0)","(1045305804, 385811068, 0)",Vabaduse väljak,60.869284188034186,58.47217948717949,53.47866987179488
"(2614129219, 10830559246, 0)","(2614129219, 10830559246, 0)",,59.86479700854701,56.68269230769231,52.527131410256416
"(6900143901, 12484661, 0)","(6900143901, 12484661, 0)",,58.28661324786326,54.36477564102565,50.04711538461538
"(256578872, 10873858654, 0)","(256578872, 10873858654, 0)",,59.775630341880344,56.36397435897436,51.751394230769236
"(4947094871, 10580761, 0)","(4947094871, 10580761, 0)",,62.64626068376069,59.6050641025641,55.214487179487186
"(634445972, 311933494, 0)","(634445972, 311933494, 0)",,57.95629273504272,55.237243589743585,55.19116987179488
"(11792186, 11792185, 0)","(11792186, 11792185, 0)",,62.02744658119658,58.380854700854705,53.204396367521376
"(31288173, 10581179, 0)","(31288173, 10581179, 0)",,55.53657051282052,53.34219551282051,50.11854967948719
"(31283006, 11782733, 0)","(31283006, 11782733, 0)",Suurtüki,53.44998931623932,50.28801282051281,47.57490384615385
"(61899904, 602779927, 0)","(61899904, 602779927, 0)",Kevade,59.87030448717948,56.81254807692308,51.23548878205128
"(1462644380, 1462644387, 0)","(1462644380, 1462644387, 0)",,55.03415064102564,52.20839743589744,48.926201923076924
"(385945214, 11792495, 0)","(385945214, 11792495, 0)",,62.93090811965813,58.61423076923078,53.66903846153846
"(10580750, 10580754, 0)","(10580750, 10580754, 0)",Suur-Karja,58.88526709401709,55.810769230769225,52.484631410256405
"(8047407214, 8047407213, 0)","(8047407214, 8047407213, 0)",,57.28090811965812,53.80679487179488,49.44612179487179
"(929287712, 607599215, 0)","(929287712, 607599215, 0)",,52.3315438034188,50.19926282051283,47.853557692307696
"(628214826, 391282724, 0)","(628214826, 391282724, 0)",,55.16102564102564,52.030096153846145,48.10450320512821
"(277365811, 59881603, 0)","(277365811, 59881603, 0)",Põhja pst,55.04212606837607,52.969679487179484,50.16530448717949
"(312958747, 278373179, 0)","(312958747, 278373179, 0)",,56.65358974358974,54.19016025641025,49.12301282051283
"(312958746, 312958747, 0)","(312958746, 312958747, 0)",,55.77886752136752,54.083942307692304,48.91953525641026
"(2130812487, 488258404, 0)","(2130812487, 488258404, 0)",Suve,60.347286324786324,55.8125641025641,52.128862179487186
"(11782407, 11782402, 0)","(11782407, 11782402, 0)",,54.724893162393165,53.14307692307692,47.306858974358974
"(607615156, 607615152, 0)","(607615156, 607615152, 0)",Eha,64.30530982905982,61.93147435897436,55.643317307692314
"(5933312936, 344394983, 0)","(5933312936, 344394983, 0)",,55.44680555555556,51.94852564102564,49.142115384615394
"(905992401, 905992413, 0)","(905992401, 905992413, 0)",,57.128408119658125,53.82439102564102,49.92145833333333
"(57658065, 57658062, 0)","(57658065, 57658062, 0)",,52.288621794871794,50.41830128205128,47.73171474358975
"(608620782, 697894146, 0)","(608620782, 697894146, 0)",,55.77192307692307,52.48445512820513,49.29246794871795
"(57666717, 57666719, 0)","(57666717, 57666719, 0)",,60.98425213675213,57.63580128205128,53.47219551282051
"(420844370, 607606367, 0)","(420844370, 607606367, 0)",,59.836410256410254,56.69600961538461,51.199711538461536
"(11782968, 600239674, 0)","(11782968, 600239674, 0)",Pikk,58.79188034188034,57.11746794871795,51.62216346153846
"(11782402, 312958747, 0)","(11782402, 312958747, 0)",,49.51693376068376,47.54519230769231,45.142147435897435
"(488239226, 390179838, 0)","(488239226, 390179838, 0)",,52.00473290598291,48.8436858974359,46.50233974358974
"(401316645, 401316643, 0)","(401316645, 401316643, 0)",,60.7365064102564,56.51910256410257,51.37451923076923
"(8047407214, 61899904, 0)","(8047407214, 61899904, 0)",,57.21738247863247,54.41448717948718,49.85996794871795
"(312958746, 61899899, 0)","(312958746, 61899899, 0)",,52.1048076923077,48.5164423076923,46.144182692307695
"(61908709, 61896513, 0)","(61908709, 61896513, 0)",,55.70367521367521,53.04025641025641,49.116458333333334
"(61913212, 61914138, 0)","(61913212, 61914138, 0)",,52.91272435897436,50.130897435897445,47.14580128205128
"(421684884, 905936662, 0)","(421684884, 905936662, 0)",,64.1710576923077,61.283076923076926,53.82192307692308
"(906832727, 11783770, 0)","(906832727, 11783770, 0)",,61.152681623931635,59.00310897435898,53.42915064102564
"(29271433, 1462644424, 0)","(29271433, 1462644424, 0)",,51.67451923076923,49.78070512820513,48.133157051282055
"(312955815, 57665671, 0)","(312955815, 57665671, 0)",,60.034615384615385,56.95378205128205,54.10227564102564
"(621327246, 11783767, 0)","(621327246, 11783767, 0)",,60.10395299145299,56.777307692307694,52.15842948717949
"(278373223, 10580764, 0)","(278373223, 10580764, 0)",,58.670138888888886,55.744006410256404,51.642355769230775
"(10048057276, 61897532, 0)","(10048057276, 61897532, 0)",Toompea,60.55136752136752,57.915224358974356,51.73322115384615
"(31283006, 31283009, 0)","(31283006, 31283009, 0)",Laboratooriumi,56.10517094017094,54.775833333333324,50.98447115384615
"(57666707, 10048057276, 0)","(57666707, 10048057276, 0)",,55.581367521367525,53.04346153846154,50.081947115384615
"(312955816, 10579215, 0)","(312955816, 10579215, 0)",,60.61728632478633,56.954166666666666,51.87060897435898
"(5928600788, 9907522363, 0)","(5928600788, 9907522363, 0)",,58.249647435897444,56.04666666666666,52.294198717948724
"(312958796, 390179837, 0)","(312958796, 390179837, 0)",,51.90931623931623,49.2648076923077,46.506891025641025
"(5928600829, 11786690, 0)","(5928600829, 11786690, 0)",,55.73341880341881,53.58160256410255,50.06440705128205
"(61912346, 61908706, 0)","(61912346, 61908706, 0)",,63.061463675213666,59.21951923076924,54.214326923076925
